state_name,district_name,market_name
Jammu and Kashmir,Anantnag,Kulgam APMC
Tamil Nadu,Karur,Kulithalai(Uzhavar Sandhai ) APMC
Tamil Nadu,Namakkal,Kumarapalayam(Uzhavar Sandhai ) APMC
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC
Tamil Nadu,Kancheepuram,Kundrathur(Uzhavar Sandhai ) APMC
Kerala,Kozhikode(Calicut),Kunnamangalam  VFPCK APMC
Kerala,Thiruvananthapuram,Kunnathukkal VFPCK APMC
Kerala,Ernakulam,Kunnukara  VFPCK APMC
Punjab,Mohali,Kurali APMC
Tamil Nadu,Coimbatore,Kurichi(Uzhavar Sandhai ) APMC
Kerala,Kottayam,Kurichy VFPCK APMC
Kerala,Kottayam,Kuriem  VFPCK APMC
Kerala,Ernakulam,Kurumassery VFPCK APMC
Kerala,Kottayam,Kuruppanthura APMC
Kerala,Kannur,Kuthuparambu APMC
Kerala,Pathanamthitta,Kuttoor APMC
Kerala,Thirssur,Kuzhur  VFPCK APMC
Haryana,Kurukshetra,Ladwa APMC
Uttar Pradesh,Lakhimpur,Lakhimpur APMC
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC
Manipur,Imphal East,Lamlong Bazaar APMC
Madhya Pradesh,Gwalior,Lashkar(F&V) APMC
Punjab,Sangrur,Lehra Gaga APMC
Haryana,Bhiwani,Loharu APMC
Nagaland,Longleng,Longleng APMC
Uttar Pradesh,Lucknow,Lucknow APMC
Kerala,Alappuzha,Madhavapuram APMC
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ) APMC
Kerala,Kasargod,Madikai  VFPCK APMC
Uttar Pradesh,Mahoba,Mahoba APMC
Uttar Pradesh,Mainpuri,Mainpuri APMC
Kerala,Thirssur,Mala VFPCK APMC
Kerala,Ernakulam,Malayattoor  VFPCK APMC
Punjab,Sangrur,Malerkotla APMC
Kerala,Pathanamthitta,Mallappally  VFPCK APMC
Kerala,Kannur,Maloor VFPCK APMC
Punjab,Muktsar,Malout APMC
Punjab,Ferozpur,Mamdot APMC
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC
Kerala,Wayanad,Manathavady APMC
Kerala,Kannur,Mangattidom VFPCK APMC
Uttarakhand,Haridwar,Manglaur APMC
Kerala,Malappuram,Manjeri APMC
Kerala,Malappuram,Mankada VFPCK APMC
Kerala,Kottayam,Mannackanad  VFPCK APMC
Tamil Nadu,Thiruvarur,Mannargudi I(Uzhavar Sandhai ) APMC
Tamil Nadu,Thiruvarur,Mannargudi II(Uzhavar Sandhai ) APMC
Punjab,Gandhinagar,Mansa APMC
Goa,North Goa,Mapusa APMC
Kerala,Thiruvananthapuram,Maranelloor VFPCK APMC
Kerala,Thirssur,Marottichal  VFPCK APMC
Uttar Pradesh,Mathura,Mathura APMC
Kerala,Kannur,Mattannur  VFPCK APMC
Kerala,Thirssur,Mattathur VFPCK APMC
Uttar Pradesh,Hamirpur,Maudaha APMC
Punjab,Bhatinda,Maur APMC
Uttar Pradesh,Jhansi,Mauranipur APMC
Kerala,Kozhikode(Calicut),Mavoor  VFPCK APMC
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC
Kerala,Ernakulam,Mazhuvannur VFPCK APMC
Haryana,Rohtak,Meham APMC
Uttar Pradesh,Sitapur,Mehmoodabad APMC
Gujarat,Mehsana,Mehsana(Mehsana Veg) APMC
Tripura,Sepahijala,Melaghar APMC
Tamil Nadu,Thirunelveli,Melapalayam(Uzhavar Sandhai ) APMC
Kerala,Idukki,Melechinnar VFPCK APMC
Kerala,Thirssur,Melocr VFPCK APMC
Tamil Nadu,Madurai,Melur(Uzhavar Sandhai ) APMC
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ) APMC
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC
Kerala,Pathanamthitta,Mezhuveli  VFPCK APMC
Uttar Pradesh,Rampur,Milak APMC
Punjab,Moga,Moga APMC
Uttar Pradesh,Farukhabad,Mohamadabad APMC
Uttar Pradesh,Khiri (Lakhimpur),Mohammdi APMC
Tamil Nadu,Namakkal,Mohanur(Uzhavar Sandhai ) APMC
Haryana,Mahendragarh-Narnaul,Mohindergarh APMC
Kerala,Ernakulam,Mookkannur  VFPCK APMC
Kerala,Malappuram,Moothedam  VFPCK APMC
Kerala,Ernakulam,Moovattupuzha APMC
Punjab,Ropar (Rupnagar),Morinda APMC
Uttar Pradesh,Jhansi,Moth APMC
Kerala,Thiruvananthapuram,Mudakkal VFPCK APMC
Punjab,Hoshiarpur,Mukerian APMC
Punjab,Hoshiarpur,Mukerian(Talwara) APMC
Kerala,Kozhikode(Calicut),Mukkam  VFPCK APMC
Kerala,Kozhikode(Calicut),Mukkom APMC
Punjab,Muktsar,Muktsar APMC
Maharashtra,Mumbai,Mumbai- Fruit Market APMC
Kerala,Idukki,Munnar APMC
Kerala,Thirssur,Muriyad  VFPCK APMC
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC
Uttar Pradesh,Hamirpur,Muskara APMC
Kerala,Kottayam,Mutholy  VFPCK APMC
Kerala,Wayanad,Muttil VFPCK APMC
Kerala,Thiruvananthapuram,Mylachal VFPCK APMC
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ) APMC
Tamil Nadu,Thirunelveli,NGO Colony(Uzhavar Sandhai ) APMC
Uttar Pradesh,Bahraich,Naanpara APMC
Punjab,Patiala,Nabha APMC
Tamil Nadu,Nagapattinam,Nagapattinam(Uzhavar Sandhai ) APMC
Maharashtra,Nagpur,Nagpur APMC
Assam,Nalbari,Nalbari APMC
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ) APMC
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ) APMC
Kerala,Pathanamthitta,Naranganam  VFPCK APMC
Haryana,Mahendragarh-Narnaul,Narnaul APMC
Jammu and Kashmir,Jammu,Narwal Jammu (F&V) APMC
Haryana,Jind,Narwana APMC
Maharashtra,Nashik,Nasik APMC
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC
Gujarat,Navsari,Navsari APMC
Uttar Pradesh,Gonda,Nawabganj APMC
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi) APMC
Kerala,Thiruvananthapuram,Nedumangadu APMC
Kerala,Pathanamthitta,Nedumbram VFPCK APMC
Kerala,Idukki,Nedumkandam APMC
Kerala,Kollam,Nedumpaikulam  VFPCK APMC
Kerala,Kollam,Nedumpana  VFPCK APMC
